Hello, how are you?	你好，你好吗？
I want to buy a book.	我想买一本书。
What time is it now?	现在几点了？
She likes eating apples.	她喜欢吃苹果。
We will go to the park tomorrow.	我们明天要去公园。
He is reading a newspaper.	他正在看报纸。
This is my favorite song.	这是我最喜欢的歌。
The cat is sleeping on the sofa.	猫在沙发上睡觉。
Do you speak Chinese?	你会说中文吗？
I need to finish my homework.	我需要完成我的作业。
There are five people in my family.	我家有五口人。
The weather is very nice today.	今天天气很好。
He works in a big company.	他在一家大公司工作。
We study English every day.	我们每天学习英语。
She bought a new dress yesterday.	她昨天买了一条新裙子。
What is your name?	你叫什么名字？
I like playing basketball.	我喜欢打篮球。
The train will arrive at 3 pm.	火车将在下午3点到达。
This book is very interesting.	这本书很有趣。
They are talking about their trip.	他们在谈论他们的旅行。
